i,centro_x,centro_y,radio,color_r,color_g,color_b
0,6.5,2.0,2.52,109.0,109.0,109.0
1,10.5,2.0,2.52,112.0,112.0,112.0
2,14.5,2.0,2.52,103.0,103.0,103.0
3,18.5,2.0,2.52,105.0,105.0,105.0
4,22.5,2.0,2.52,103.0,103.0,103.0
5,26.5,2.0,2.52,103.0,103.0,103.0
6,30.5,2.0,2.52,102.0,102.0,102.0
7,34.5,2.0,2.52,108.0,108.0,108.0
8,38.5,2.0,2.52,105.0,105.0,105.0
9,42.5,2.0,2.52,109.0,109.0,109.0
10,46.5,2.0,2.52,104.0,104.0,104.0
11,50.5,2.0,2.52,104.0,104.0,104.0
12,54.5,2.0,2.52,103.0,103.0,103.0
13,58.5,2.0,2.52,102.0,102.0,102.0
14,62.5,2.0,2.52,108.0,108.0,108.0
15,66.5,2.0,2.52,110.0,110.0,110.0
16,70.5,2.0,2.52,110.0,110.0,110.0
17,74.5,2.0,2.52,110.0,110.0,110.0
18,78.5,2.0,2.52,110.0,110.0,110.0
19,82.5,2.0,2.52,114.0,114.0,114.0
20,86.5,2.0,2.52,108.0,108.0,108.0
21,90.5,2.0,2.52,110.0,110.0,110.0
22,94.5,2.0,2.52,109.0,109.0,109.0
23,98.5,2.0,2.52,106.0,106.0,106.0
24,102.5,2.0,2.52,106.0,106.0,106.0
25,106.5,2.0,2.52,109.0,109.0,109.0
26,110.5,2.0,2.52,107.0,107.0,107.0
27,114.5,2.0,2.52,103.0,103.0,103.0
28,118.5,2.0,2.52,104.0,104.0,104.0
29,122.5,2.0,2.52,103.0,103.0,103.0
30,126.5,2.0,2.52,103.0,103.0,103.0
31,130.5,2.0,2.52,109.0,109.0,109.0
32,134.48,2.14,2.59,107.0,107.0,107.0
33,138.5,2.0,2.52,114.0,114.0,114.0
34,142.5,2.0,2.52,115.0,115.0,115.0
35,146.78,1.39,2.39,119.0,119.0,119.0
36,151.0,1.15,2.03,154.0,154.0,154.0
37,154.53,1.73,2.19,211.0,211.0,211.0
38,158.5,2.0,2.52,231.0,231.0,231.0
39,162.5,2.0,2.52,232.0,232.0,232.0
40,166.5,2.0,2.52,227.0,227.0,227.0
41,170.5,2.0,2.52,226.0,226.0,226.0
42,174.5,2.0,2.52,219.0,219.0,219.0
43,178.55,2.15,2.52,216.0,216.0,216.0
44,182.44,1.31,2.26,190.0,190.0,190.0
45,186.5,1.5,2.26,178.0,178.0,178.0
46,190.7,2.0,2.52,160.0,160.0,160.0
47,194.58,1.89,2.46,128.0,128.0,128.0
48,198.5,2.0,2.52,116.0,116.0,116.0
49,202.5,2.0,2.52,123.0,123.0,123.0
50,206.59,1.65,2.33,108.0,108.0,108.0
51,210.5,2.0,2.52,107.0,107.0,107.0
52,214.5,2.0,2.52,109.0,109.0,109.0
53,218.5,2.0,2.52,111.0,111.0,111.0
54,222.5,2.0,2.52,108.0,108.0,108.0
55,226.5,2.0,2.52,113.0,113.0,113.0
56,230.5,2.0,2.52,117.0,117.0,117.0
57,234.5,2.0,2.52,114.0,114.0,114.0
58,238.5,2.0,2.52,112.0,112.0,112.0
59,242.5,2.0,2.52,112.0,112.0,112.0
60,246.5,2.0,2.52,112.0,112.0,112.0
61,250.5,2.0,2.52,110.0,110.0,110.0
62,254.5,2.0,2.52,109.0,109.0,109.0
63,258.5,2.0,2.52,111.0,111.0,111.0
64,262.5,2.0,2.52,110.0,110.0,110.0
65,266.5,2.0,2.52,106.0,106.0,106.0
66,270.5,2.0,2.52,110.0,110.0,110.0
67,274.5,2.0,2.52,110.0,110.0,110.0
68,278.5,2.0,2.52,112.0,112.0,112.0
69,282.5,2.0,2.52,111.0,111.0,111.0
70,286.5,2.0,2.52,109.0,109.0,109.0
71,290.5,2.0,2.52,114.0,114.0,114.0
72,294.5,2.0,2.52,111.0,111.0,111.0
73,298.5,2.0,2.52,109.0,109.0,109.0
74,302.5,2.0,2.52,117.0,117.0,117.0
75,306.5,2.0,2.52,112.0,112.0,112.0
