i,centro_x,centro_y,radio,color_r,color_g,color_b
0,9.5,3.0,3.66,255.0,255.0,255.0
1,15.5,3.0,3.66,255.0,255.0,255.0
2,21.5,3.0,3.66,255.0,255.0,255.0
3,27.5,3.0,3.66,255.0,255.0,255.0
4,33.5,3.0,3.66,255.0,255.0,255.0
5,39.5,3.0,3.66,255.0,255.0,255.0
6,45.5,3.0,3.66,255.0,255.0,255.0
7,51.5,3.0,3.66,255.0,255.0,255.0
8,57.5,3.0,3.66,255.0,255.0,255.0
9,63.5,3.0,3.66,255.0,255.0,255.0
10,69.5,3.0,3.66,255.0,255.0,255.0
11,75.5,3.0,3.66,255.0,255.0,255.0
12,81.5,3.0,3.66,255.0,255.0,255.0
13,87.5,3.0,3.66,255.0,255.0,255.0
14,93.5,3.0,3.66,255.0,255.0,255.0
15,99.5,3.0,3.66,255.0,255.0,255.0
16,105.5,3.0,3.66,255.0,255.0,255.0
17,111.5,3.0,3.66,255.0,255.0,255.0
18,117.5,3.0,3.66,255.0,255.0,255.0
19,123.5,3.0,3.66,255.0,255.0,255.0
20,129.5,3.0,3.66,255.0,255.0,255.0
21,135.5,3.0,3.66,255.0,255.0,255.0
22,141.5,3.0,3.66,255.0,255.0,255.0
23,147.5,3.0,3.66,255.0,255.0,255.0
24,153.5,3.0,3.66,255.0,255.0,255.0
25,159.5,3.0,3.66,255.0,255.0,255.0
26,165.5,3.0,3.66,255.0,255.0,255.0
27,171.5,3.0,3.66,255.0,255.0,255.0
28,177.5,3.0,3.66,255.0,255.0,255.0
29,183.5,3.0,3.66,255.0,255.0,255.0
30,189.5,3.0,3.66,255.0,255.0,255.0
31,195.5,3.0,3.66,255.0,255.0,255.0
32,201.5,3.0,3.66,255.0,255.0,255.0
33,207.5,3.0,3.66,255.0,255.0,255.0
34,213.5,3.0,3.66,255.0,255.0,255.0
35,219.5,3.0,3.66,255.0,255.0,255.0
36,225.5,3.0,3.66,254.0,255.0,255.0
37,231.5,3.0,3.66,255.0,255.0,255.0
38,237.5,3.0,3.66,254.0,254.0,255.0
39,243.5,3.0,3.66,254.0,255.0,255.0
40,249.5,3.0,3.66,255.0,254.0,255.0
41,255.5,3.0,3.66,254.0,254.0,255.0
42,261.5,3.0,3.66,254.0,254.0,254.0
43,267.5,3.0,3.66,254.0,254.0,255.0
44,273.5,3.0,3.66,254.0,254.0,254.0
45,279.5,3.0,3.66,254.0,254.0,254.0
46,285.5,3.0,3.66,254.0,254.0,254.0
47,291.5,3.5,3.91,254.0,254.0,254.0
48,297.5,3.0,3.66,253.0,254.0,254.0
49,303.5,3.0,3.66,254.0,254.0,254.0
50,309.5,3.0,3.66,254.0,254.0,255.0
51,315.5,3.0,3.66,255.0,255.0,255.0
52,321.5,3.0,3.66,255.0,255.0,255.0
53,327.5,3.0,3.66,255.0,255.0,255.0
54,333.5,3.0,3.66,255.0,255.0,255.0
55,339.5,3.0,3.66,255.0,255.0,255.0
56,345.5,3.0,3.66,255.0,255.0,255.0
57,351.5,3.0,3.66,255.0,255.0,255.0
58,357.5,3.0,3.66,255.0,255.0,255.0
59,363.5,3.0,3.66,255.0,255.0,255.0
60,369.5,3.0,3.66,255.0,255.0,255.0
61,375.5,3.0,3.66,255.0,255.0,255.0
62,381.5,3.0,3.66,255.0,255.0,255.0
